epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,7467.33,1.73685,1.94188,0.01126,0.65604,0.27155,0.3062,0.17836,1.80127,1.56999,0.00546,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,7551.02,1.74809,1.93215,0.01107,0.56335,0.27166,0.30625,0.17886,1.80125,1.56793,0.00546,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,7633.44,1.73945,1.92837,0.01132,0.558,0.27123,0.30705,0.17951,1.79894,1.56636,0.00545,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,7714.19,1.73902,1.94911,0.01115,0.64425,0.27125,0.3076,0.1801,1.7979,1.56298,0.00544,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,7794.54,1.72451,1.92014,0.01111,0.6411,0.27184,0.30815,0.18063,1.79643,1.56213,0.00544,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,7874.72,1.72514,1.91258,0.01122,0.55371,0.27479,0.30847,0.18099,1.79546,1.56012,0.00543,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,7955.44,1.71616,1.92032,0.01118,0.55299,0.27636,0.30959,0.18171,1.7927,1.55698,0.00542,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,8035.29,1.72521,1.93001,0.01117,0.5549,0.27885,0.31077,0.18201,1.79169,1.55644,0.00541,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,8117.37,1.71695,1.89833,0.01109,0.55545,0.27994,0.31103,0.18166,1.79041,1.55402,0.00541,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,8199.08,1.71508,1.89849,0.0112,0.5508,0.28188,0.31136,0.18237,1.78804,1.55423,0.0054,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,8279.16,1.74483,1.89633,0.01086,0.54885,0.28652,0.31217,0.18279,1.78748,1.55175,0.0054,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,8361.05,1.72996,1.89238,0.01087,0.55101,0.28818,0.31307,0.18322,1.78688,1.54917,0.00539,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,8443.43,1.73808,1.93898,0.01101,0.55317,0.28895,0.31387,0.18401,1.78439,1.54895,0.00538,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,8524.69,1.68883,1.88558,0.01138,0.55122,0.29182,0.31444,0.18417,1.78308,1.5464,0.00537,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,8603.5,1.71866,1.8844,0.01099,0.55522,0.29222,0.31531,0.18474,1.78207,1.54595,0.00537,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,8684.34,1.72575,1.87166,0.01116,0.55016,0.29528,0.31586,0.18531,1.78064,1.54427,0.00536,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,8767.45,1.73151,1.89542,0.01083,0.55401,0.29664,0.31637,0.18596,1.77876,1.54381,0.00535,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,8848.76,1.73642,1.8834,0.01105,0.5577,0.2981,0.31654,0.18639,1.77761,1.54227,0.00535,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,8932.01,1.71839,1.84266,0.01108,0.55314,0.30335,0.31706,0.18696,1.77588,1.53999,0.00534,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,9015.51,1.72265,1.85743,0.01104,0.55352,0.30532,0.31751,0.18752,1.77571,1.53713,0.00534,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,9096.42,1.71199,1.86205,0.01117,0.57358,0.30007,0.31846,0.18822,1.7741,1.53607,0.00533,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,9179.12,1.73393,1.86718,0.01078,0.54907,0.30921,0.31935,0.18874,1.77344,1.53501,0.00533,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,9259.86,1.71683,1.86731,0.01114,0.5732,0.2989,0.31972,0.18898,1.77211,1.53382,0.00533,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,9344.18,1.70016,1.84393,0.0111,0.5719,0.29754,0.32042,0.18984,1.7704,1.53147,0.00532,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,9424.94,1.70918,1.87169,0.01112,0.59104,0.29811,0.32063,0.19003,1.76909,1.52975,0.00532,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,9506.57,1.72504,1.86509,0.01082,0.59679,0.29837,0.32162,0.19077,1.76764,1.52757,0.00531,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,9588.78,1.69554,1.82812,0.01094,0.58628,0.29849,0.32218,0.19174,1.7665,1.52625,0.00531,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,9673.31,1.7252,1.82595,0.01059,0.58902,0.29904,0.32264,0.19217,1.76612,1.52469,0.0053,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,9754.54,1.69706,1.82452,0.01095,0.59193,0.29881,0.32305,0.19245,1.76541,1.52266,0.0053,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,9835.14,1.69822,1.83122,0.01087,0.58641,0.30472,0.32307,0.19288,1.76486,1.52214,0.00529,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,9915.97,1.70721,1.82188,0.01076,0.58989,0.30474,0.32362,0.19337,1.76422,1.52127,0.00529,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,9998.09,1.69723,1.82343,0.01111,0.59353,0.30394,0.32433,0.19394,1.76321,1.51952,0.00529,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,10080.8,1.68885,1.81369,0.01097,0.60169,0.30223,0.32519,0.19455,1.76212,1.51799,0.00528,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,10162.3,1.70263,1.84998,0.01124,0.6008,0.30339,0.32608,0.19494,1.76089,1.51721,0.00528,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,10244.3,1.72272,1.82948,0.011,0.59752,0.3057,0.32578,0.19453,1.76145,1.51543,0.00528,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,10325.3,1.70569,1.82424,0.01091,0.6066,0.3027,0.32585,0.19458,1.76057,1.51397,0.00528,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,10407.9,1.70366,1.80764,0.0107,0.60528,0.30336,0.32658,0.19506,1.7597,1.51372,0.00527,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,10490.5,1.70061,1.80354,0.01049,0.61131,0.29855,0.32673,0.19541,1.75926,1.51296,0.00527,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,10572.6,1.69896,1.79571,0.01068,0.60997,0.30035,0.32703,0.19585,1.75802,1.51185,0.00527,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,10655.6,1.6633,1.78431,0.01084,0.60626,0.30052,0.3271,0.19607,1.75724,1.5097,0.00526,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,10738.7,1.69347,1.79597,0.0107,0.61322,0.29923,0.32798,0.19666,1.75737,1.50744,0.00526,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,10820.9,1.67475,1.78946,0.01084,0.60676,0.29999,0.32837,0.19696,1.75615,1.50692,0.00526,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,10904,1.6748,1.77602,0.01077,0.60095,0.30228,0.329,0.19756,1.75487,1.50417,0.00525,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,10987,1.67986,1.78615,0.01074,0.60602,0.30114,0.3296,0.19832,1.75314,1.50238,0.00525,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
