epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,9220.97,1.67263,1.78367,0.01075,0.58793,0.34978,0.36108,0.22125,1.69297,1.42667,0.00501,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,9325.12,1.64651,1.78212,0.01068,0.58899,0.35197,0.36207,0.22195,1.692,1.42243,0.005,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,9430.53,1.67579,1.78863,0.01063,0.5927,0.35227,0.36339,0.22337,1.68968,1.41944,0.00499,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,9534.88,1.65354,1.78507,0.01064,0.58536,0.35944,0.36465,0.22399,1.68829,1.41744,0.00498,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,9638.65,1.66514,1.78048,0.01066,0.59152,0.35362,0.36597,0.22564,1.68695,1.41632,0.00498,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,9745.1,1.66733,1.76675,0.01046,0.593,0.35439,0.36689,0.22634,1.6856,1.41567,0.00497,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,9850.79,1.66475,1.765,0.01073,0.50782,0.35639,0.36677,0.22676,1.68389,1.41126,0.00496,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,9956.26,1.66546,1.78106,0.01053,0.51037,0.35625,0.36708,0.22715,1.68298,1.40867,0.00495,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,10062.3,1.64295,1.76757,0.01046,0.50957,0.35678,0.36786,0.22767,1.67982,1.40681,0.00494,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,10166.8,1.64541,1.76215,0.01059,0.5352,0.35738,0.36794,0.22747,1.67824,1.4049,0.00494,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,10271.9,1.64068,1.76133,0.01052,0.53694,0.35645,0.3685,0.22781,1.67722,1.4038,0.00493,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,10375.7,1.65179,1.77009,0.01052,0.54468,0.35647,0.36914,0.22868,1.67657,1.4023,0.00493,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,10480.3,1.63436,1.72792,0.01039,0.54889,0.35642,0.36933,0.22883,1.67579,1.40109,0.00492,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,10584.3,1.63908,1.73662,0.01052,0.56121,0.34278,0.36979,0.22903,1.67521,1.40101,0.00492,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,10689,1.66106,1.74105,0.01021,0.56287,0.34235,0.37045,0.22941,1.67534,1.39689,0.00492,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,10793.4,1.64773,1.72257,0.01031,0.56211,0.34109,0.3717,0.23031,1.67418,1.39476,0.00491,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,10897.7,1.65792,1.76007,0.01035,0.57008,0.34139,0.37287,0.23095,1.67291,1.39228,0.00491,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,11002.8,1.61825,1.72193,0.01072,0.56918,0.34087,0.37341,0.23188,1.67179,1.39083,0.00491,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,11107.6,1.63783,1.71392,0.01033,0.57139,0.33989,0.37448,0.23274,1.67114,1.38866,0.0049,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,11212.3,1.64283,1.71529,0.01048,0.57567,0.3391,0.37564,0.23345,1.67019,1.38766,0.0049,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,11316.6,1.65033,1.73909,0.01017,0.57928,0.34111,0.37664,0.23424,1.66956,1.38548,0.00489,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,11421.6,1.65756,1.72073,0.01039,0.57928,0.34038,0.3769,0.2347,1.66885,1.38409,0.00489,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,11527.4,1.63014,1.67482,0.01034,0.57908,0.34196,0.37744,0.23494,1.66721,1.38207,0.00488,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,11632.3,1.63925,1.70008,0.01043,0.56474,0.35441,0.37839,0.23583,1.66606,1.37951,0.00488,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,11738.5,1.63037,1.7005,0.0105,0.57002,0.35584,0.37912,0.23657,1.6652,1.3779,0.00487,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,11842.9,1.65296,1.7037,0.01017,0.5716,0.35691,0.37932,0.23692,1.66341,1.37669,0.00487,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,11947.9,1.63012,1.70444,0.01034,0.57431,0.35765,0.38005,0.23719,1.6621,1.37439,0.00486,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,12053.1,1.62057,1.7016,0.01042,0.57588,0.35714,0.38054,0.23771,1.66096,1.37248,0.00486,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,12159.6,1.62465,1.70367,0.01044,0.57525,0.35799,0.38125,0.23808,1.65989,1.37042,0.00485,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,12265.3,1.64298,1.69193,0.0102,0.58125,0.35572,0.38193,0.23843,1.65946,1.36764,0.00486,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
